PAGOS,MONTO,COMUNA,REGION,URBANIDAD,FPAGO,TIPOBENEFICIO,COBROMARZO,SEXO,ECIVIL,NACIONALIDAD,NOCOBRO
1,7856,304,10,2,3,16,0,1,1,0,0
2,9071,58,4,2,3,16,1,1,1,0,1
1,2087,134,10,2,1,17,1,2,1,0,1
1,5158,330,14,2,3,14,0,2,5,0,0
1,5136,107,13,2,3,14,0,1,5,0,1
1,5158,330,14,2,3,14,0,1,5,0,0
1,8202,128,11,2,3,14,0,1,1,0,1
1,8109,285,11,2,3,16,1,1,1,0,0
1,8864,285,11,2,3,16,0,1,1,0,0
1,7856,59,11,2,3,16,0,1,1,0,1
1,5158,32,11,2,3,14,1,2,1,0,0
1,7856,300,11,2,3,16,0,1,1,0,0
1,5158,216,11,2,3,14,0,2,1,0,0
1,7856,300,11,2,3,16,0,1,5,0,0
1,5136,155,11,2,3,14,1,1,1,0,0
1,5738,205,11,2,3,16,0,1,1,0,1
1,2843,290,4,2,3,7,0,1,1,0,0
1,8298,300,11,2,1,16,1,2,5,0,0
1,7642,78,11,2,3,16,0,1,1,0,0
2,8922,85,11,2,1,16,0,1,1,0,0
1,5158,245,14,2,3,14,0,2,1,0,1
2,8399,62,2,2,3,16,0,1,5,0,0
1,5365,258,12,2,3,16,0,1,1,0,0
1,5158,8,0,2,3,14,0,1,5,0,1
1,5136,62,2,2,3,14,0,1,5,0,0
1,7806,157,11,2,3,16,0,1,1,0,1
1,7800,152,4,2,3,16,0,1,1,0,0
1,5158,30,4,1,3,14,0,1,5,0,0
1,8401,216,11,2,1,16,1,1,5,0,0
1,6867,285,11,2,3,16,0,2,1,0,0
3,9157,128,11,2,3,16,1,2,1,0,0
1,5158,285,11,2,3,14,1,1,1,0,0
1,7852,220,11,2,3,16,0,1,1,0,0
1,5745,115,11,2,3,16,1,1,1,0,0
2,8229,216,11,2,3,16,0,1,5,0,1
1,4428,329,11,2,1,16,1,1,1,0,1
1,5430,336,11,2,3,16,0,1,1,1,0
1,8587,300,11,2,3,16,0,1,1,0,0
1,4727,155,11,2,3,16,0,2,1,0,0
1,8403,166,11,2,3,16,0,1,1,0,0
1,5745,249,11,2,3,16,0,1,1,0,0
1,8090,336,11,2,1,16,0,2,5,0,0
1,4848,249,11,2,3,16,0,1,5,0,1
1,6913,157,11,2,3,16,0,2,1,0,0
2,8444,216,11,2,3,16,0,1,1,0,0
2,8198,304,10,2,3,16,0,1,1,0,0
1,7075,211,6,1,3,16,0,1,5,0,0
1,4996,246,14,2,1,16,1,1,1,0,0
1,5158,180,7,2,3,14,0,2,5,0,1
1,7856,303,11,2,3,16,0,2,1,0,0
1,5158,266,7,0,5,14,0,2,1,0,0
2,9031,246,14,2,1,16,0,1,1,0,0
1,7635,216,11,2,3,16,0,1,5,0,0
1,4255,128,11,2,3,16,0,1,5,0,1
1,7806,115,11,2,3,16,0,1,1,0,0
1,8436,336,11,2,3,16,0,1,1,0,0
1,6427,300,11,2,3,14,0,1,5,0,0
1,7527,249,11,2,1,16,0,2,1,0,0
1,5080,120,11,2,3,14,1,2,5,0,0
1,7856,106,11,2,3,16,0,1,1,0,0
1,9048,245,14,2,1,16,0,2,1,0,0
1,2087,142,6,1,1,17,0,2,1,0,1
1,9034,112,11,2,1,16,0,2,5,0,0
1,5483,58,4,2,3,16,1,1,5,0,0
1,5136,271,11,2,3,14,0,2,1,0,0
1,7806,134,10,2,3,16,1,2,1,0,0
1,8758,115,11,2,1,16,0,2,1,0,0
1,7023,307,6,2,3,16,0,2,1,0,0
1,5158,112,11,2,3,14,0,2,1,0,0
1,9050,285,11,2,1,16,0,2,5,0,0
1,6918,285,11,2,3,16,0,2,1,0,0
1,5158,149,7,1,3,14,0,1,1,0,0
1,4464,118,14,1,3,16,0,1,5,0,1
1,7806,87,6,1,3,16,0,1,1,0,0
1,5483,142,6,1,3,16,0,1,5,0,1
1,1822,272,15,2,3,7,0,1,1,0,1
1,4583,121,5,2,3,16,0,1,5,0,0
